"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"284","Rodney Buford",77,"189",79.1896551724138,224.65,1999
"285","Melvin Levett",75,"202",79.1896551724138,224.65,1999
"286","Kris Clack",76,"235",79.1896551724138,224.65,1999
"287","Tim Young",84,"220",79.1896551724138,224.65,1999
"288","Emmanuel Ginobili",78,"210",79.1896551724138,224.65,1999
"289","Eddie Lucas",79,"204",79.1896551724138,224.65,1999
"290","Kenyon Martin",81,"230",79.3965517241379,219.2,2000
"291","Stromile Swift",82,"220",79.3965517241379,219.2,2000
"292","Darius Miles",81,"210",79.3965517241379,219.2,2000
"293","Marcus Fizer",80,"260",79.3965517241379,219.2,2000
"294","Mike Miller",81,"218",79.3965517241379,219.2,2000
"295","DerMarr Johnson",81,"201",79.3965517241379,219.2,2000
"296","Chris Mihm",84,"265",79.3965517241379,219.2,2000
"297","Jamal Crawford",77,"175",79.3965517241379,219.2,2000
"298","Joel Przybilla",85,"255",79.3965517241379,219.2,2000
"299","Keyon Dooling",75,"196",79.3965517241379,219.2,2000
"300","Jerome Moiso",82,"232",79.3965517241379,219.2,2000
"301","Etan Thomas",81,"256",79.3965517241379,219.2,2000
"302","Courtney Alexander",77,"205",79.3965517241379,219.2,2000
"303","Mateen Cleaves",75,"210",79.3965517241379,219.2,2000
"304","Jason Collier",84,"260",79.3965517241379,219.2,2000
"305","Hidayet Turkoglu",80,"220",79.3965517241379,219.2,2000
"306","Desmond Mason",77,"222",79.3965517241379,219.2,2000
"307","Quentin Richardson",78,"236",79.3965517241379,219.2,2000
"308","Jamaal Magloire",83,"259",79.3965517241379,219.2,2000
"309","Speedy Claxton",71,"166",79.3965517241379,219.2,2000
"310","Morris Peterson",79,"215",79.3965517241379,219.2,2000
"311","Donnell Harvey",80,"216",79.3965517241379,219.2,2000
"312","DeShawn Stevenson",77,"210",79.3965517241379,219.2,2000
"313","Dalibor Bagaric",85,"255",79.3965517241379,219.2,2000
"314","Iakovos Tsakalidis",86,"285",79.3965517241379,219.2,2000
"315","Mamadou NDiaye",84,"255",79.3965517241379,219.2,2000
"316","Primoz Brezec",85,"243",79.3965517241379,219.2,2000
"317","Erick Barkley",73,"177",79.3965517241379,219.2,2000
"318","Mark Madsen",81,"236",79.3965517241379,219.2,2000
"319","Marko Jaric",80,"210",79.3965517241379,219.2,2000
